#,Component,Qty,Total (USD),Purchase Link
1,XIAO ESP32-S3,1,$7 ,www.aliexpress.com
2,"2.42"" SSD1309 OLED 128x64 I2C",1,$5.12 ,www.aliexpress.com
3,TTP223 Capacitive Touch Sensor,1,$3.67 ,www.aliexpress.com
4,MAX98357A I2S Audio Amplifier,1,$3.09 ,www.aliexpress.com
5,3W 4-ohm Speaker,1,$1.37 ,www.aliexpress.com
6,3.7V Li-Po Battery,1,$2.00 ,www.aliexpress.com
7,Slide ON/OFF Switch,1,$1.50 ,www.aliexpress.com
8,Custom Mimo PCB,1,$2 ,https://jlcpcb.com
9,PCB Shipping,1,$13 ,https://jlcpcb.com
10,3D-Printed Mimo Enclosure,1,$10 ,Hackclub Printing Legion
11,M2 Screws + Nuts/Standoffs,1 set,$5 ,www.aliexpress.com
13,2.54mm Pin Headers,1 pack,$4 ,www.aliexpress.com
14,4x4 Inch Fur Fabric Piece,1,$5 ,www.aliexpress.com
15,Aliexpress Shipping,1,$35 ,www.aliexpress.com
,,,,
,,TOTAL:,$98 ,
